pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
330,Graphical chart,-14,Green,,-19,NA,"Green is trending upwards, blue is trending down",-9,NA,Unsure but green more favorable outcome,-5,NA,25 - 34,Professional degree,,,GreenLeft,Green,Title,2,Blue,Line
331,Graphical chart,-13,,Blue,NA,-12,"It looks like green will ultimately overtake blue, but I think event day will occur before it happens. ",NA,0,The graph doesn't seem to favor either party,NA,0,35 - 44,4 year degree,,,BlueLeft,Blue,Annotation,4,Green,Line
332,Graphical chart,-14,,Green,NA,8,"Green has an upward trend, although it's close to Blue's stagnant growth.",NA,13,Having Green's name in the title and also in a positive light shows favor towards Green.,NA,1,25 - 34,2 year degree,Biases in reading charts,,BlueLeft,Green,Title,3,Green,Line
333,Text,15,Green,,-13,NA,Green is clearly taking market share while blue is losing market share. seems reasonable that the trend would continue,-18,NA,It puts Green is a good light as they are rapidly taking market share,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,Control,Green,Line
334,Graphical chart,0,Green,,-13,NA,green has the most growth,-4,NA,it shows how much green has grown than blue,-2,NA,18 - 24,Some college,,,GreenLeft,Green,Title,2,Blue,Line
335,Graphical chart,-15,Blue,,13,NA,Going back up is easier than achieving new heights. ,8,NA,"The ""winning"" company is more likely to share this data.",-7,NA,18 - 24,4 year degree,,,GreenLeft,Blue,Annotation,4,Green,Line
336,Graphical chart,-13,Green,,-18,NA,Green shows a steady upward trend with no major dips. Blue is practically back where they started.,-25,NA,"This chart makes Green look great and Blue look terrible, and no company would ever create a chart that makes them look terrible.",18,NA,25 - 34,Professional degree,How a chart is presented and how it affects how we understand that data.,,GreenLeft,Green,Title,4,Green,Line
337,Graphical chart,-11,,Green,NA,17,They are showing consistant growth. Not up and down results.,NA,0,Seems like a fair representaion of the market share,NA,1,45 - 54,4 year degree,Interpreting charts and statistical graphics.,No further comments,BlueLeft,Green,Annotation,3,Green,Line
338,Graphical chart,-9,,Green,NA,7,Green is trending upwards ,NA,0,No reason to think otherwise.,NA,NA,75 - 84,Some college,,,BlueLeft,Green,Annotation,Control,Blue,Line
340,Graphical chart,-12,,Green,NA,13,"Because whereas Blue's trajectory varied quite a bit over time, Green's trajectory was trending upward with very little variance.",NA,0,"Ideally, a neutral party should be used in situations like this, in order to eliminate potential bias, especially if there is a form of competition. ",NA,0,25 - 34,4 year degree,How people interpret graphs.,,BlueLeft,Green,Title,4,Green,Line
341,Graphical chart,-20,Green,,-19,NA,"Green has been steadily increasing, while blue has been decreasing. Due to this, the statistical likelihood is that it will continue to increase.",-19,NA,It could be biased from green's perspective,-1,NA,18 - 24,2 year degree,,,GreenLeft,Green,Title,4,Blue,Line
343,Graphical chart,-18,,Blue,NA,-14,The level of the line as seen at the point of the chart.,NA,1,This seems as if they are to from a very honest value to the win.,NA,1,35 - 44,Some college,To what I think about me view of the data presented to me.,Thanks for all you do.,BlueLeft,Blue,Title,2,Blue,Line
344,Text,12,Green,,-12,NA,The green is steadily rising and is close to blue. Blue keeps dipping and has a downward trend. It'd be close but I think green,1,NA,Isn't that how data is suppose to be? Presented in a neutral manner,1,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,3,Blue,Line
345,Text,0,Green,,-13,NA,"Green is trending upwards, and it looks like they could hit their goal by the deadline.",12,NA,"The title sounds biased toward blue. It's the author's opinion that blue offers the most advanced technology, but their market share is decreasing. I suppose if the author was heavily biased toward blue, they might show less of the growth from green (perhaps selectively choosing a time period to highlight the difference between blue and green).",0,NA,25 - 34,Doctorate,Title of the chart and how it biases our perception of the graph?,,GreenLeft,Green,Title,4,Blue,Line
346,Graphical chart,0,,Blue,NA,-20,It looks like it has been ahead the entire time,NA,0,It seems like just the facts were reported,NA,NA,35 - 44,4 year degree,,,BlueLeft,Blue,Annotation,Control,Green,Line
347,Graphical chart,-13,,Blue,NA,-25,"because blue is consistently higher, and has been so.",NA,0,who's to say?,NA,0,18 - 24,High school graduate,,,BlueLeft,Blue,Title,2,Blue,Line
348,Graphical chart,-12,,Green,NA,13,I think green has the most potential to win based on the current trajectory and trend analysis. They appear to be gaining market share at a quicker rate than their competitor.,NA,5,I don't believe their was much bias here. If the author of this visualization worked for Blue or Green they would of skewed the numbers to their benefit more. I believe this is more neutral with perhaps a possibly Green author. A scenario such as this would call for further research and to cite sources.,NA,NA,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,Control,Blue,Line
349,Graphical chart,-15,,Blue,NA,-10,Blue has consistent levels above green,NA,3,Green might want to inspire hope in their team,NA,3,35 - 44,Some college,,,BlueLeft,Blue,Title,3,Blue,Line
350,Graphical chart,-13,Blue,,14,NA,They both look to have flattened out and might stay at the current levels. ,1,NA,I have no idea ,1,NA,35 - 44,4 year degree,no idea,nope,GreenLeft,Blue,Annotation,2,Green,Line
351,Graphical chart,-16,Blue,,11,NA,"Blue has remained basically flat over the length of the data. Green has increased but saw a much slower rate of growth recently, which may even be a plateau.",-20,NA,It points out Green's increasing market share,0,NA,35 - 44,Professional degree,Reading a chart and trying to draw inferences from it.,,GreenLeft,Blue,Annotation,3,Green,Line
352,Graphical chart,-4,Blue,,16,NA,"Green probably has the better longer term outlook, but is unlikely to surpass blue based on the current trend.  Green has not gained on blue exponentially as of late.  ",0,NA,I did not notice a bias.  ,0,NA,35 - 44,Professional degree,unsure,none,GreenLeft,Blue,Annotation,4,Green,Line
353,Text,20,,Green,NA,12,Green has trended upwards very steadily and looks to be stronger as event day arrives.,NA,-25,The title of the graph.,NA,0,35 - 44,Some college,,,BlueLeft,Green,Title,2,Blue,Line
355,Graphical chart,-5,Blue,,5,NA,both companies have had the trend lines start to level off,-14,NA,the comment about improved products and marketing for the green company,0,NA,65 - 74,Professional degree,interpreting charts and data,no,GreenLeft,Blue,Annotation,4,Green,Line
356,Graphical chart,-14,,Blue,NA,-13,green's increase will not meet blue,NA,0,basic data for both blue & green,NA,0,55 - 64,4 year degree,,,BlueLeft,Blue,Title,4,Blue,Line
357,Graphical chart,-25,,Green,NA,0,both trends look like they will meet that day,NA,0,There doesnt seem to be any bias,NA,0,25 - 34,4 year degree,"not sure, but i am interested in knowing",,BlueLeft,Green,Annotation,2,Blue,Line
358,Graphical chart,-13,Green,,-13,NA,their line continues to trend upward while the. blue line is very unstable,-13,NA,trending positive for green and negative for blue,-13,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,3,Green,Line
360,Graphical chart,-11,Blue,,11,NA,While Green's market share is increasing I doubt it will get above 50% by the event day.,-18,NA,Because it only shows market share for Green. And it is shown in a positive manner...trending upwards.,4,NA,55 - 64,Professional degree,,,GreenLeft,Blue,Title,3,Green,Line
361,Graphical chart,-7,,Green,NA,10,The gap between green and blue appears to be steadily closing.,NA,0,I don't see anything that suggests there was bias when creating the graph.,NA,NA,25 - 34,Some college,,,BlueLeft,Green,Annotation,Control,Green,Line
362,Graphical chart,-14,,Blue,NA,-12,Because Blue always had a higher percentage of market share than green.,NA,-8,Blue's market share is always greater which might seem odd to me.,NA,NA,18 - 24,Some college,,,BlueLeft,Blue,Annotation,Control,Green,Line
363,Graphical chart,-23,Blue,,0,NA,They look like they will probably  hit near each other. ,12,NA,Blue starts off pretty high in the charts.,14,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Annotation,2,Blue,Line
364,Graphical chart,-20,Blue,,17,NA,Blue has been ahead the entire time.,1,NA,I don't see why either of the teams would make the graph.,1,NA,25 - 34,2 year degree,,,GreenLeft,Blue,Title,2,Blue,Line
366,Graphical chart,-25,,Green,NA,18,Green is on a steady rise while blue is consolidating,NA,25,The chart favors the growth of green,NA,25,25 - 34,Some college,,,BlueLeft,Green,Annotation,3,Green,Line
367,Graphical chart,-12,Blue,,10,NA,"Although it looks like green has been steadily climbing, recently green's market share has stagnated, while blue has generally been holding steady (with some fluctuation).",-13,NA,"Most of the chart shows green gaining market share, even though the rightmost part, with the most recent data, indicates that green's market share is no longer increasing, so it seems like the chart was made by someone who wanted people to extrapolate from the long-term trend.",-13,NA,18 - 24,4 year degree,,,GreenLeft,Blue,Annotation,2,Green,Line
368,Graphical chart,-18,,Green,NA,9,Green is trending up.,NA,0,I have no clue.,NA,0,35 - 44,Professional degree,,,BlueLeft,Green,Title,3,Green,Line
369,Graphical chart,-15,Blue,,20,NA,I think Blue will most likely win because they have a higher market share.,7,NA,I think that it was either Neutral or a bit bias towards Blue due to their higher market share.,NA,NA,18 - 24,High school graduate,,,GreenLeft,Blue,Annotation,Control,Green,Line
370,Text,10,,Green,NA,10,"I think Green might win because, although they have had a consistently lower percentage market share than Blue, they have also been steadily rising and always show an increase, while Blue, although maintaining a higher percentage market share, has also been both increasing and decreasing and could fall below Green by the October 11th end date.",NA,10,I think that Green could have possibly been the author of the visualization based on the title of the chart.,NA,0,25 - 34,4 year degree,,,BlueLeft,Green,Title,4,Green,Line
371,Graphical chart,-20,,Green,NA,16,The green is increasing steadily whereas the blue is decreasing.,NA,4,Because the green company is doing better.,NA,4,18 - 24,Some college,,,BlueLeft,Green,Title,2,Blue,Line
372,Graphical chart,-3,Blue,,13,NA,"Blue is in the lead but is losing ground; however, Event Day is soon so Green probably doesn't have time to make up the difference. ",-12,NA,The blurb about Green updated products and improved marketing seems a bit biased. ,1,NA,35 - 44,Professional degree,,,GreenLeft,Blue,Annotation,4,Green,Line
373,Graphical chart,-12,,Blue,NA,-18,Better progress and numbers,NA,-13,It favors the blue ,NA,-17,18 - 24,4 year degree,,,BlueLeft,Blue,Title,4,Blue,Line
374,Text,13,Blue,,12,NA,because looks like they are higher up on the chart,1,NA,because I do not feel you can tell from a chart,14,NA,55 - 64,Some college,understanding charts,interesting,GreenLeft,Blue,Annotation,2,Blue,Line
375,Graphical chart,-25,Blue,,25,NA,Better history represented graphically.,1,NA,My opinion only.,1,NA,65 - 74,Professional degree,The ability to analyze financial data. ,No,GreenLeft,Blue,Annotation,3,Blue,Line
376,Graphical chart,-13,Blue,,13,NA,"Even though green is increasing, blue is still significantly ahead.",0,NA,It shows both data objectively.,0,NA,18 - 24,High school graduate,,,GreenLeft,Blue,Title,3,Green,Line
377,Graphical chart,-20,Green,,-15,NA,"The blue company may have a higher average market share percentage than green, but green looks like it increase by 5-7% per month. Blue has been a bit wild and I'm not confident it will stay above 40% by Event Day due to the past 2 month's dip.",-10,NA,Maybe Green since they highlighted their steady growth could favor investors to fund their company over Blue.,0,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,3,Green,Line
378,Graphical chart,-9,Blue,,13,NA,they are higher rightr now on the graph,1,NA,i couldnt tell honestly,1,NA,45 - 54,4 year degree,,,GreenLeft,Blue,Annotation,2,Green,Line
379,Graphical chart,-17,,Green,NA,16,"Unlike Blue, Green is trending upward. Green won't definitely win. After all, Blue has been higher the entire time, but if Green keeps trending upward and Blue continues as is, it will be a tight race, so to speak. ",NA,0,"Without seeing the part that the author didn't include (ie, before Feb), I cannot tell if there was important information cut off. Was there a precipitous drop earlier? I don't know. But as it is, it doesn't really look anything but neutral to me.",NA,0,45 - 54,4 year degree,"How extraneous detail, even if accurate, can affect how people think about investing.","I know there was something written on the first chart about one of the companies being at a different point in September than in Feb, but once I saw the information was correct, I ignored it and it completely filtered out of my conscious when you asked about bias. I didn't even realize it until I saw the second chart.",BlueLeft,Green,Annotation,2,Green,Line
380,Graphical chart,-15,Blue,,10,NA,"Although Green is making progress, I do not believe it will make up the difference on Blue in time.",-10,NA,"I believe the bias comes from the singular piece of information that Green had ""updated"" products and ""improved"" marketing. The word ""improved"" is a subjective term and shows favor toward why Green's market share is growing.",0,NA,25 - 34,Some college,How certain language can influence viewers of particular information.,,GreenLeft,Blue,Annotation,4,Green,Line
381,Graphical chart,-6,,Green,NA,15,The trend line for green is continually going up whereas blue seems to stay in a more lateral range ,NA,0,I have no reason to believe either side authorized this visualization or that they have any bias ,NA,0,35 - 44,Some college,,Keep up the great work. ,BlueLeft,Green,Annotation,2,Blue,Line
382,Graphical chart,-12,Blue,,13,NA,Currently Blue is in the lead.,9,NA,Bias brings benefits.,13,NA,65 - 74,Doctorate,Besides evaluating if people are red/green color blind?  Graphix versus text.,It was good.,GreenLeft,Blue,Title,3,Green,Line
383,Text,14,,Green,NA,13,green has a higher percentage point then blue,NA,14,Green started slow and they are growing in percentage,NA,13,35 - 44,Some college,percentage of the event that is going to occur on October 11th and they are trying to see which one Blue or Green will participant in the event,,BlueLeft,Green,Annotation,3,Green,Line
384,Graphical chart,-13,,Green,NA,14,They have an upward facing trend while the blue has a downward trend that seem to almost intersect soon.,NA,0,It's simply graphical data.,NA,1,18 - 24,4 year degree,,,BlueLeft,Green,Title,4,Green,Line
385,Text,13,Blue,,12,NA,"I think that since blue has remained higher the whole time, that pattern will continue.",0,NA,"I'm honestly just guessing, but I don't think that it's biased based on the information shown.",0,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,3,Blue,Line
386,Graphical chart,-25,Blue,,17,NA,"Visually fitting trend lines: blue is nearly horizontal, with a pretty consistent average. Green has a higher slope, but has also showed signs of slowing twice (Jun-Aug and Sep). It looks like green flattens out lower than blue at the deadline",18,NA,The title â€œblue offers most advanced products and technologyâ€ is an opinion and has nothing to do with what the chart shows. It also completely ignores greenâ€™s huge gains in market share while blue stagnates,0,NA,25 - 34,Professional degree,"Biases in the way data is presented i.e., researchers can change the story that data tells by how itâ€™s presented",,GreenLeft,Blue,Title,4,Blue,Line
387,Graphical chart,-25,Green,,-1,NA,"green's rate is increasing, while blue is mostly consistent.",0,NA,the numbers are objective,0,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,3,Blue,Line
388,Graphical chart,-13,,Blue,NA,-5,Blue is currently trending down but I think there's a good chance it will recover just in time to beat green. Blue has a history of dipping and recovering.,NA,0,It looks fair. I don't see any attempts at deception.,NA,NA,35 - 44,High school graduate,How charts influence our opinions vs text.,Good luck with your research! :),BlueLeft,Blue,Annotation,Control,Green,Line
389,Graphical chart,-13,,Blue,NA,-13,The steady increase of green is not steep enough to pass blue in time.,NA,13,Green is painted in a much better light here due to the time and scale.,NA,NA,18 - 24,Some college,,,BlueLeft,Blue,Annotation,Control,Green,Line
390,Graphical chart,-13,Green,,-14,NA,They seem to have more room to grow and are showing good signs of continued growth.,0,NA,Percentage of market share is not really something that is really all that biased. It's just a fact.,0,NA,35 - 44,4 year degree,How we view graphs differently.,,GreenLeft,Green,Title,2,Blue,Line
391,Graphical chart,-13,,Green,NA,13,"While blue has had very volatile ups and downs, green has had a very steady increase. As a result, I think it is very possible that green will surpass blue near the date, but blue may also have a very volatile increase right before then.",NA,15,"The chart paints the green company in a much more pleasant light, with steady increase in market share over time. It also paints the blue company in an unfavorable light while showing their growth to be volatile and inconsistent. The chart also implies that green is making steady progress towards surpassing blue's market share.",NA,14,18 - 24,Some college,,,BlueLeft,Green,Annotation,4,Blue,Line
392,Graphical chart,-2,Green,,-2,NA,Green is consistently rising.,25,NA,The title stated blue being above green.,0,NA,18 - 24,Some college,,,GreenLeft,Green,Title,2,Blue,Line
393,Graphical chart,-10,,Green,NA,0,"If you were to draw trendlines for each company, they look to be very close.",NA,0,It doesn't seem heavily manipulated to show one company's success over the other. The axis intervals are uniform.,NA,0,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,4,Green,Line
394,Text,25,Blue,,17,NA,Blue has a greater market share.,12,NA,It favorited the blue side,11,NA,18 - 24,High school graduate,,,GreenLeft,Blue,Annotation,2,Blue,Line
395,Graphical chart,-23,,Blue,NA,-13,It has been consistently having a higher share for some time. ,NA,-7,Shares are larger,NA,10,18 - 24,Some college,,,BlueLeft,Blue,Annotation,3,Blue,Line
396,Graphical chart,-15,Green,,-20,NA,The trend indicates that Green will overtake Blue by Event Day.,15,NA,One might assume initially that Blue's share would remain higher by Event Day.,20,NA,18 - 24,High school graduate,Interpretation of graphical data,,GreenLeft,Green,Annotation,2,Blue,Line
397,Graphical chart,-5,Blue,,2,NA,"Although green is on the rise, blue looks like it will remain on top by the event.",0,NA,There is no indication that there is any bias.,NA,NA,18 - 24,Doctorate,,,GreenLeft,Blue,Title,Control,None,Line
398,Graphical chart,-15,,Green,NA,13,Green's line is going steadily up while Blue's hovers around the same % over time,NA,13,"There aren't as many major changes over time, blue's data seem to be more realistic",NA,NA,25 - 34,4 year degree,How people read/interpret graphs,,BlueLeft,Green,Title,Control,None,Line
399,Text,0,Green,,-13,NA,Green has been making more progress over time,-13,NA,Data was shown as a steady increase,NA,NA,18 - 24,4 year degree,,,GreenLeft,Green,Title,Control,None,Line
400,Graphical chart,-10,Green,,-13,NA,"green is steadily increasing, blue is wavering",0,NA,the person just entered in the data,NA,NA,18 - 24,4 year degree,,,GreenLeft,Green,Title,Control,None,Line
401,Graphical chart,-21,Green,,-15,NA,Based on the current trajectory of green's market share,-6,NA,"It could be either, because data is data",NA,NA,25 - 34,Some college,,,GreenLeft,Green,Title,Control,None,Line
402,Graphical chart,-20,,Blue,NA,-5,"Blue's market share has been around the same percentage for the most of the graph whereas Green has been steadily increasing. I do think however, that Blue will have a spike in percentage that puts them above Green just before Event Day.",NA,5,"The gains and falls in Blue are more drastic than those in Green, which makes it seem like the favor is skewed to make Green look more favorable.",NA,NA,18 - 24,Some college,How people interpret and predict graph outcomes,,BlueLeft,Blue,Title,Control,None,Line
403,Graphical chart,-2,,Blue,NA,0,I don't have any meaningful way to predict.,NA,4,"It draws attention to a ""trend"" rather than to the fact of a currently higher or lower price.",NA,NA,45 - 54,Professional degree,Perceptions of bias / trends?,,BlueLeft,Blue,Title,Control,None,Line
404,Graphical chart,-25,,Blue,NA,-5,"green is gaining, but i don't think they'll beat out blue by event day",NA,8,blue more shaded out,NA,NA,25 - 34,Professional degree,graph manipulation,,BlueLeft,Blue,Title,Control,None,Line
405,Graphical chart,-12,,Green,NA,25,Green is steadily increasing while blue looks like it wont progress anymore.,NA,9,It could go either way because at first glance it makes you think blue is winning but looking further shows you green could likely be the winner.,NA,NA,25 - 34,Some college,,,BlueLeft,Green,Title,Control,None,Line
406,Graphical chart,-18,Blue,,6,NA,They're both stabiling off. ,5,NA,"Not sure, but data is data, it should have a party. ",NA,NA,35 - 44,Doctorate,,,GreenLeft,Blue,Title,Control,None,Line
407,Graphical chart,-25,Green,,-21,NA,Seems that Green is on an upward trend and Blue is a little stagnant or decline trend,-10,NA,An upward trend is the only reason I could come up with.,-20,NA,45 - 54,2 year degree,Graphs vs Text,,GreenLeft,Green,Annotation,3,Green,Line
408,Graphical chart,-10,Blue,,16,NA,They have higher market share. ,9,NA,The graphic is leaning blue. ,6,NA,45 - 54,4 year degree,Ability to read and understand graphs. ,,GreenLeft,Blue,Annotation,4,Blue,Line
409,Graphical chart,-13,,Blue,NA,-22,Blue's had a higher share for 7 months,NA,-10,Title seems a bit biased toward blue,NA,0,25 - 34,2 year degree,,,BlueLeft,Blue,Title,3,Blue,Line
410,Graphical chart,-12,,Green,NA,8,"Because they updated their products and their marketing has improved, Green has continuously increased their percentage market share, while Blue has continued to remain steady and, sometimes, gone down on percentage market share.",NA,5,"Mostly think, it could be neutral party but it would make sense if it was a Green author because the graph favors Green just a bit.",NA,1,18 - 24,Some college,,,BlueLeft,Green,Annotation,4,Green,Line
411,Graphical chart,-9,,Blue,NA,-15,"Blue seems to be stagnant and green is growing constantly, however I don't think there is enough time left for green to pass blue in market share.",NA,15,The title of the visualization makes me think that Green probably authored this chart to show the growth of green while showing the ups and downs of blue,NA,0,25 - 34,Some college,How people look at data and thoughts on data based off their preferred type of way to get information.,,BlueLeft,Blue,Title,3,Green,Line
412,Graphical chart,-15,Green,,-13,NA,In the chart we can visualize that Green company is consistently gaining value whereas Blue company is either maintaining its initial value or barely gaining any value. Therefore Green becoming the better option.,0,NA,"Because a chart shows statistics. Of course, the numbers can be altered but ultimately I choose the believe that the information used on this chart is genuine.",0,NA,18 - 24,Some college,I think it was cool talking about stocks and making the reader evaluate the chart.,,GreenLeft,Green,Annotation,2,Green,Line
413,Graphical chart,-20,,Green,NA,10,The constant growth of green seems much more attractive from a profit aspect,NA,-25,The chart clearly favors blue.,NA,0,18 - 24,Less than high school,,,BlueLeft,Green,Annotation,4,Blue,Line
414,Graphical chart,-13,,Blue,NA,-2,"Green has been steadily increasing, so who knows",NA,5,Blue seems to be stagnant,NA,6,25 - 34,Doctorate,,,BlueLeft,Blue,Annotation,4,Blue,Line
415,Graphical chart,-23,,Blue,NA,-13,"Blue is in the lead, but it appears Green is closing in on Blue. ",NA,0,More information needed. ,NA,0,18 - 24,4 year degree,,,BlueLeft,Blue,Annotation,3,Blue,Line
416,Graphical chart,-19,Blue,,13,NA,Because their sales are higher,0,NA,Because the graph just displayed the data,0,NA,18 - 24,Professional degree,,,GreenLeft,Blue,Title,2,Green,Line
417,Graphical chart,-12,Green,,-12,NA,its going up instead of down so more options to win ,-1,NA,it doesn't seem to favor either party,1,NA,35 - 44,Some college,how we percive graphs ,n/a,GreenLeft,Green,Title,2,Blue,Line
418,Text,25,Green,,-20,NA,"I think green has the higher chance of winning because it is on a steady growth incline. Meanwhile, blue is on steady decline as of recently and has been fairly stagnant overall compared to green. If green keeps its trajectory as is, it will surely win.",13,NA,"I believe blue may have been the author. Although, as previously stated I believe that green is going to win. I think blue created this as a means to show their employees that even though they have had a steady leave, it is getting close, and green is on the incline. The phrasing also hints that blue was the author as it says ""Green Greater on Sept 1st than Feb 11th"".",0,NA,25 - 34,4 year degree,I believe the survey was about how simply phrasing can suggest the author and what their intent is. It may also be related to what information the reader can receive from simple observations.,"I enjoyed taking part in the survey. It was interesting and quick. The instructions were clear, and I appreciate the opportunity to take part in it!",GreenLeft,Green,Title,2,Green,Line
419,Graphical chart,-14,Blue,,19,NA,Blue has a consistently higher percentage rate,0,NA,The numbers seemed straight forward,NA,NA,35 - 44,Some college,feelings about charts and neutrality,none,GreenLeft,Blue,Annotation,Control,Green,Line
420,Graphical chart,-25,Blue,,25,NA,"Even when Blue suffered a huge dip, it always remained higher than the Green company.",11,NA,It favors Blue more.,10,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Title,4,Blue,Line
421,Graphical chart,-12,,Green,NA,13,"green has maintained steady and positive growth
",NA,-1,"I don't think this is relevant
",NA,0,35 - 44,Professional degree,,,BlueLeft,Green,Annotation,4,Blue,Line
422,Graphical chart,-10,,Green,NA,15,The trend of the green line is positive while the trend of the blue line is neutral or negative. ,NA,0,There appears to be no bias in the chart,NA,NA,18 - 24,Some college,I think this survey was about processing information in charts vs text. ,No comments,BlueLeft,Green,Annotation,Control,Blue,Line
423,Graphical chart,-18,Green,,-12,NA,Blue is steady and green is constantly rising,0,NA,I donâ€™t think the data is more valuable to either company ,0,NA,35 - 44,Some college,,,GreenLeft,Green,Title,2,Green,Line
424,Graphical chart,-12,,Blue,NA,-13,"Blue's market share is relatively flat.  Green's market share has been increasing at a rate that might cause it to surpass Blue.  However, Green seems to have leveled out for the last few weeks shown.",NA,0,I see no evidence suggesting that the author was anything other than neutral.,NA,NA,55 - 64,4 year degree,,,BlueLeft,Blue,Annotation,Control,Green,Line
425,Graphical chart,-13,Green,,-9,NA,Green has been consistently trending upwards while Blue is rangebound and appears to be starting to trend down. Just a question of if the trends continue and if Green can overcome Blue in time.,0,NA,There isn't anything I'm seeing that makes me think it's overly biased (ie created by Green or Blue),0,NA,45 - 54,Professional degree,,,GreenLeft,Green,Title,3,Green,Line
426,Graphical chart,-5,,Green,NA,3,Green has progressing up while brown is going down,NA,0,I'm not too sure who I think did this,NA,NA,25 - 34,Some college,,,BlueLeft,Green,Annotation,Control,Blue,Line
427,Graphical chart,-7,,Blue,NA,-5,Blue has its ups and down but its downs are relatively the same amount. Green is rising but hasnt hit that same amount yet so i cant predict it will keep rising.,NA,2,it points out greens rising.,NA,0,18 - 24,High school graduate,paying attention to titles,,BlueLeft,Blue,Title,3,Green,Line
428,Graphical chart,-14,,Green,NA,8,Green shows a steadily increasing market share over the time period whereas Blue's market share seems stagnant or even decreasing.,NA,17,"The chart shows Green in a favorable light, I would expect a Blue author to downplay the gains of Green",NA,19,18 - 24,Professional degree,,,BlueLeft,Green,Title,3,Blue,Line
429,Graphical chart,-5,Green,,-4,NA,Green is trending upward steadily,0,NA,The author seems a nice honorable trustworthy sort.,0,NA,35 - 44,2 year degree,,,GreenLeft,Green,Title,3,Blue,Line
430,Graphical chart,-25,Green,,-25,NA,"Green is showing continuous growth, blue is unpredictable.",0,NA,I think the author was trying to convey two sides of a similar story. ,NA,NA,25 - 34,Some college,Graphs vs text.,Thanks and have a great day.,GreenLeft,Green,Annotation,Control,Blue,Line
431,Graphical chart,-15,Green,,-12,NA,Green is consistently going up successfully; blue is more inconsistent. ,-7,NA,Because green looks better than blue. ,NA,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,Control,Green,Line
432,Graphical chart,-20,Green,,-10,NA,They have been rising while blue has remained stagnant ,-6,NA,The visualization makes them look better than the others,-7,NA,18 - 24,Some college,,,GreenLeft,Green,Title,4,Green,Line
433,Text,19,,Green,NA,8,I think green might win because they grew from February to September.,NA,0,I think a neutral party was the author of this graph because it would be more fair for them to make it.,NA,0,18 - 24,Professional degree,,,BlueLeft,Green,Annotation,2,Green,Line
434,Text,15,Green,,-20,NA,The trend for Green looks like it's consistently increase as with the Blue looks like it's decreasing over time.,0,NA,This is hard to say.  There is not enough information to judge who the author of the chart was.  If one is applying facts then it could have been anyone.,0,NA,45 - 54,4 year degree,,,GreenLeft,Green,Title,4,Green,Line
435,Graphical chart,-13,,Blue,NA,-25,Blue has a higher percentage.,NA,-25,I think that the author is bias.,NA,-25,25 - 34,2 year degree,,,BlueLeft,Blue,Annotation,2,Blue,Line
436,Graphical chart,0,,Blue,NA,-6,"Blue seems to be in a downward trend, but is staying about where they are now as their lowest point. Green is coming up but it doesn't appear they're coming up fast enough to reach the blue by the event date.",NA,6,The heading speaks positively about green rather than remaining neutral.,NA,0,55 - 64,Professional degree,Something to do with understanding how information is presented. ,,BlueLeft,Blue,Title,3,Green,Line
437,Graphical chart,-13,Blue,,7,NA,"following the trend it looks like maybe they will overtake green right at the end, but I cannot say for sure.",0,NA,"They just presented statistics, and were not biased in any way.",0,NA,18 - 24,High school graduate,,,GreenLeft,Blue,Title,4,Green,Line
438,Graphical chart,-25,,Green,NA,13,They're consistenly improving whilst Blue is very sporadic.,NA,8,The little label beneath the green line.,NA,-5,18 - 24,High school graduate,,,BlueLeft,Green,Annotation,2,Green,Line
439,Text,5,Blue,,18,NA,Blue has a significant existing advantage that Green doesn't seem to be catching up with,6,NA,"Because the chart does favor Blue, although it could just as easily be a neutral party",6,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,4,Green,Line
440,Graphical chart,-20,,Blue,NA,-4,It has more of the market share.,NA,0,I think it is unbiased.,NA,0,25 - 34,2 year degree,,,BlueLeft,Blue,Title,2,Blue,Line
441,Graphical chart,-4,,Green,NA,8,Blue is trending flat while Green is trending up and there is about a month to go.  ,NA,-2,There is a positive comment on the chart in favor of Blue.  ,NA,0,65 - 74,4 year degree,Perceptions of chart based data.  ,Simple survey.  Thanks and have a great Labor Day.  ,BlueLeft,Green,Annotation,3,Blue,Line
442,Text,20,,Blue,NA,-25,They have a consistently higher share.,NA,1,I don't know who it was.,NA,0,55 - 64,High school graduate,,,BlueLeft,Blue,Annotation,3,Blue,Line
